,index,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,attributes.AgesAllowed,attributes.Open24Hours,attributes.ByAppointmentOnly,attributes.Corkage,attributes.BYOBCorkage,attributes.DriveThru,attributes.GoodForDancing,attributes.CoatCheck,attributes.BestNights,attributes.BYOB,attributes.Smoking,attributes.Music,attributes.BusinessAcceptsBitcoin,attributes.WheelchairAccessible,attributes.RestaurantsTableService,attributes.DogsAllowed,attributes.HappyHour,attributes.BikeParking,attributes.RestaurantsGoodForGroups,attributes.Ambience,attributes.Caters,attributes.GoodForMeal,attributes.NoiseLevel,attributes.RestaurantsReservations,attributes.HasTV,attributes.Alcohol,attributes.RestaurantsAttire,attributes.BusinessAcceptsCreditCards,attributes.GoodForKids,attributes.RestaurantsTakeOut,attributes.RestaurantsDelivery,attributes.OutdoorSeating,attributes.BusinessParking,attributes.WiFi,attributes.RestaurantsPriceRange2,hours.Sunday,hours.Saturday,hours.Friday,hours.Thursday,hours.Wednesday,hours.Tuesday,hours.Monday
662,52834,BHWIl_wI7P58JrODocBjkg,notion,128 S Highland Ave,Pittsburgh,PA,15206,40.4602716,-79.9251042,4.0,36,0,"American (New), Restaurants",,,,,,,,,,,,,,,,,,,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': True, 'trendy': False, 'upscale': False, 'casual': False}",False,,u'quiet',True,False,u'none',u'dressy',True,False,False,False,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'no',4,,18:0-22:0,18:0-22:0,18:0-22:0,18:0-22:0,18:0-22:0,
663,52846,cpRiIxqubDa4JV58ZR7-cg,Pittsburgh Steak Company,1924 E Carson St,Pittsburgh,PA,15203,40.428324,-79.978097,2.5,71,0,"Latin American, Steakhouses, Restaurants",,,,,,,,,,,,,,,,,,True,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",False,,u'average',True,True,u'full_bar',u'casual',True,True,True,False,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'no',2,15:0-21:0,11:0-23:0,11:0-23:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
664,52998,MU8xA_S8gqobnDq8d2nsQg,Damon's Grill & Sports Bar,5205 Campbells Run Rd,Pittsburgh,PA,15277,40.442939,-80.158996,2.5,3,0,"American (New), Restaurants",,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,2,,,,,,,
665,53074,a6iD1btU3fo6P6UV-YFLsw,Truth Lounge,51 S 12th St,Pittsburgh,PA,15203,40.4289996,-79.9863199,3.5,28,0,"Tapas/Small Plates, Lounges, Restaurants, Nightlife, Bars, Mediterranean",,,,,,,,,,,,,,,,,,,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': True, 'trendy': False, 'upscale': False, 'casual': False}",,,u'average',True,True,u'full_bar',u'casual',True,False,,False,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'no',3,,16:30-2:0,16:30-2:0,16:30-2:0,16:30-2:0,16:30-2:0,16:30-2:0
666,53111,rVCK-fdFm1zPppMO9iMn6g,Apollo Cafe,429 Forbes Ave,Pittsburgh,PA,15219,40.4391836,-79.9978319,3.5,37,1,"Restaurants, American (Traditional)",,,,,,,,,,,,,,,,,,True,False,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': True}",u'loud',False,True,u'none',u'casual',False,True,True,False,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,1,,,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0
667,53114,7waMQSqPcbSSAInazaQPxg,Wise County Biscuits,,Pittsburgh,PA,,40.4406248,-79.9958864,5.0,12,1,"Sandwiches, Food Stands, Breakfast & Brunch, Food Trucks, Food, Restaurants",,,,,,,,,,,,,,,,,,,True,,,,,False,,,,True,,True,False,,,,,,10:0-14:0,,,,,
668,53128,pYeQ80rPttM6KzMQ3MXE8g,Nied's Hotel,5438 Butler St,Pittsburgh,PA,15201,40.4833186,-79.9498249,3.5,35,0,"Nightlife, American (Traditional), Restaurants, Bars, Dive Bars, Seafood, Sandwiches",,,,,,,,,,,,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}",,,True,,True,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': True, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",False,,u'loud',False,True,u'full_bar',u'casual',True,False,True,False,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'no',1,,7:0-0:0,7:0-0:0,7:0-0:0,7:0-0:0,7:0-0:0,7:0-0:0
669,53139,ZqP_j4ZTFSN5dkHYF0Lobw,Lupi's Famous Pizza,2311 Babcock Blvd,Pittsburgh,PA,15237,40.5133397,-80.0009868,4.0,14,1,"Pizza, Restaurants",,,,,,,,,,,,,,,,,,True,False,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",u'average',False,True,u'none',u'casual',True,True,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,2,12:0-22:0,11:0-0:0,11:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
670,53233,V-_LSBVHNZ12noWpc2mYMQ,Over Eden,177 40th St,Pittsburgh,PA,15201,40.4697099,-79.9627698,3.5,55,1,"Restaurants, Mediterranean, Cocktail Bars, Food, Nightlife, Bars, Desserts",,,,,,,False,False,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}",False,u'no',"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",,True,,,True,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",,,u'average',True,True,u'full_bar',u'casual',True,,,,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}",u'free',,17:0-22:0,17:0-0:0,17:0-0:0,17:0-0:0,17:0-22:0,17:0-22:0,17:0-22:0
671,53244,1pSulg40hoGWWTMivqoaew,North Park Lounge Lawrenceville,4717 Butler St,Pittsburgh,PA,15201,40.4745801,-79.9579403,4.0,24,1,"Burgers, Restaurants, Nightlife, Soup, Lounges, Bars",,,,,,,,,,,,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",,,,True,True,,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,True,,,True,,,,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,,10:0-0:0,10:0-2:0,11:0-2:0,11:0-1:0,11:0-1:0,16:0-23:0,16:0-23:0
672,53288,jDqaz1jKdeWk_fTVCzc1Pg,Conflict Kitchen,221 Schenley Dr,Pittsburgh,PA,15213,40.44258082,-79.9527347618,4.0,148,0,"Imported Food, Restaurants, Ethnic Food, Specialty Food, Food",,,False,,,,,,,,,,,,,,,True,True,,False,,,,,,u'casual',True,,True,False,,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,1,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0
673,53424,y19xFolCozaRA-gGmHwkQA,Aladdin's Eatery,929 Freeport Rd,Pittsburgh,PA,15240,40.487933,-79.8873629,4.0,74,1,"Middle Eastern, Mediterranean, Food, Restaurants, Vegan, Vegetarian",,,,,,,,,,,,,False,True,True,False,False,True,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",'average',True,False,u'none',u'casual',True,True,True,False,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",u'free',2,11:0-21:0,11:0-22:0,11:0-22:0,11:0-16:0,11:0-21:30,11:0-21:30,0:0-0:0
674,53497,mnI_n7A8sxgOSmtgI3wzQQ,Amazing Cafe,1506 E Carson St,Pittsburgh,PA,15203,40.4286788,-79.9831142,4.5,97,0,"Fitness & Instruction, Gluten-Free, Food, Restaurants, Sandwiches, Active Life, Salad, Juice Bars & Smoothies, Yoga, Vegetarian, Cafes, Vegan",,,,,,,,,,,,,,,False,,,True,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",False,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': False}",'average',False,False,'none','casual',True,True,True,False,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",'free',2,9:0-15:0,,,,,,
675,53561,CqU7SXYRo9EbMwlxrSvErA,1947 Tavern,5744 1/2 Ellsworth Ave,Pittsburgh,PA,15232,40.4556589,-79.9309996,3.5,73,0,"Restaurants, Nightlife, Bars, American (New), American (Traditional)",,,,,,,,,,,,,,,,,True,True,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}",False,,u'average',False,False,u'full_bar',u'casual',True,False,True,False,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'free',2,,10:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,
676,53608,WZDQqw960DaMWDyPbtRFtA,Dancing Crab Thai Noodle House,2126 E Carson St,Pittsburgh,PA,15203,40.428244,-79.975153,4.5,185,1,"Thai, Restaurants",,,False,,,,,,,,,,,True,True,False,False,True,True,"{'touristy': False, 'hipster': None, 'romantic': None, 'divey': False, 'intimate': True, 'trendy': True, 'upscale': False, 'classy': None, 'casual': True}",True,"{'dessert': False, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}",u'average',True,True,'none','casual',True,True,True,True,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'no',2,11:30-21:0,11:30-22:0,11:30-22:0,11:30-21:0,11:30-21:0,11:30-21:0,
677,53708,3nDxqHvf7L5AdEAAeMaQAg,Domino's Pizza,119 N Sheridan Ave,Pittsburgh,PA,15206,40.4720189065,-79.914773291,1.5,71,1,"Pizza, Restaurants, Sandwiches, Chicken Wings",,,,,,,,,,,,,,,,,,True,False,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}",,False,False,u'none',u'casual',True,True,True,True,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",u'no',1,10:30-3:0,10:30-3:0,10:30-3:0,10:30-3:0,10:30-3:0,10:30-3:0,10:30-3:0
678,53785,IrkBeajv3BQFYwJC9i0e1g,Wallace's Whiskey Room + Kitchen,123 N Highland Ave,Pittsburgh,PA,15206,40.4622582,-79.9247818,3.0,17,1,"Nightlife, American (New), Seafood, Bars, Whiskey Bars, Restaurants",,,,,,,,,,,u'outdoor',"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}",False,True,True,,True,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",False,,,True,True,u'full_bar',,True,True,True,True,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': True}",u'free',,16:30-22:0,16:30-23:0,16:30-23:0,16:30-22:0,16:30-22:0,16:30-22:0,16:30-22:0
679,54099,8vzMRsSIjkdjwq3u190ohw,Sree's Foods,701 Smithfield St,Pittsburgh,PA,15222,40.4430443,-79.9969144,4.0,68,1,"Indian, Restaurants, Pakistani",,,,,,,,,,,,,,,,,,True,False,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': True, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",True,,u'quiet',False,False,u'none',u'casual',True,False,True,False,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'no',1,,,11:30-14:30,11:30-14:30,11:30-14:30,11:30-14:30,11:30-14:30
680,54194,fUB_aqie86DKI2tTAkG72w,Pizza Bellagio,254 Freeport Rd,Pittsburgh,PA,15238,40.4926174,-79.8630663,2.0,4,1,"Food Delivery Services, Food, Pizza, Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0
681,54242,TzZrOcJR_GavjZPSOYiVmQ,Aspendo's Turkish Kebab House,663 Washington Rd,Pittsburgh,PA,15228,40.3813382,-80.0439852,4.5,14,1,"Falafel, Turkish, Restaurants, Mediterranean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,
682,54261,pSAoDrxX7Q5VRe-7gpDpOw,Spoonwood Brewing,5981 Baptist Rd,Pittsburgh,PA,15236,40.3453798,-80.0139943,4.0,266,1,"Food, Breweries, Pizza, Restaurants",,,False,,,,,,,,,,,True,,False,,True,,,False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,u'beer_and_wine',,True,True,True,False,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,2,10:30-22:0,11:30-23:0,11:30-23:0,16:0-22:0,16:0-22:0,16:0-22:0,
683,54388,Tdc2v9DBRRYeG2P_h9OvRw,Pizza Amier,5804 Forward Ave,Pittsburgh,PA,15217,40.4296522,-79.9232478,3.5,26,0,"Food, Restaurants, Italian, Pizza, Sandwiches",,,,,,,,,,,,,,,,,,,False,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,u'quiet',False,False,u'none',u'casual',True,True,True,True,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'no',1,10:0-0:0,10:0-2:0,10:0-2:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0
684,54396,UTtXuA_bPa0w24G89SKM6g,King Crust,1105 Bower Hill Rd,Pittsburgh,PA,15243,40.3754838,-80.0685876,4.0,22,1,"Restaurants, Pizza, Gluten-Free, Sandwiches",,,,,,,,,,,,,,,,,,,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,False,True,,,True,True,True,True,,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",,1,10:0-22:0,10:0-23:0,10:0-23:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0
685,54477,ROeCBwuy5lfHUo8v0SMwSg,Stone Neapolitan Pizzeria,"300 Liberty Ave, Ste 100",Pittsburgh,PA,15222,40.4409409013,-80.0061373024,4.0,144,0,"Pizza, Food, Restaurants",,,,,,,,,,,,,,,,,True,True,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",False,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",u'average',False,True,u'none',u'casual',True,True,True,False,True,"{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': True}",u'no',2,11:0-18:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0
686,54647,cAX-srNrvlifjfov_jpQ1w,Texas de Brazil,"240 W Station Square Dr, Ste D1",Pittsburgh,PA,15219,40.4342885,-80.0052397,4.0,295,1,"Venues & Event Spaces, Event Planning & Services, Restaurants, Brazilian, Steakhouses",,,False,,,,,,,,,,False,True,True,False,True,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}",u'average',True,True,u'full_bar','casual',True,True,True,True,True,"{'garage': True, 'street': False, 'validated': False, 'lot': True, 'valet': False}",u'no',3,16:0-21:0,16:0-22:0,17:0-22:0,17:0-21:30,17:0-21:30,17:0-21:30,17:0-21:30
687,54676,AMWMEXmwrODR1X2G3V9Q0A,Delgreco's Pizzeria,1216 Cochrans Mill Rd,Pittsburgh,PA,15236,40.3191339,-79.9805926,4.0,4,0,"Restaurants, Pizza",,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,True,,,,,,,,,,,
688,54691,HFr3uQI9h8sTTvGn3xk5Zg,Uncle Sam's Submarines,936 Freeport Rd,Pittsburgh,PA,15238,40.4890230106,-79.8926940962,3.5,60,1,"Restaurants, Sandwiches",,,,,,,,,,,,,,,,,,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",False,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': False}",u'average',False,True,'none',u'casual',False,True,True,False,False,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",u'no',1,,,,,,,
689,54725,ay8R8W91B7Mm-dv4O6apEg,Schorr Bakery,3912 Perrysville Ave,Pittsburgh,PA,15214,40.4899717,-80.0182566,4.0,18,0,"Food, Restaurants, Bakeries",,,False,,,,,,,,,,,,,False,,True,,,True,,u'quiet',,,,,True,True,True,False,,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,2,,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0
690,54767,oITu5Qwnmv0hsEMc21XjXw,The Chef's Table at Quickhatch,372 Butler St,Pittsburgh,PA,15223,40.4968566,-79.9436517,4.0,5,0,Restaurants,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
691,54869,ugmQx75KCr8nc8E-d69K8g,Nordstrom Marketplace Cafe,1000 Ross Park Mall Dr,Pittsburgh,PA,15237,40.544161,-80.008601,4.0,27,1,"Cafes, Restaurants, American (Traditional), Diners, Sandwiches, American (New)",,,,,,,,,,,,,,,,,,False,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",False,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'quiet',False,True,u'beer_and_wine',u'casual',True,True,True,False,False,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",u'free',2,11:0-17:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,0:0-0:0
692,54958,68s6PZRs6bQ9Nqtppdzpuw,Charley's Phily Steaks,100 Robinson Ctr Dr,Pittsburgh,PA,15205,40.4547052,-80.1571838,3.0,3,1,"Restaurants, Cheesesteaks, Delis, Sandwiches",,,,,,,,,,,,,,,,,,,False,,,,,False,,,,,True,True,True,,,,,11:0-18:0,10:0-21:30,10:0-21:30,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0
693,54968,wmCBxE0PfLZD8sxIwAY59Q,Hofbrauhaus Pittsburgh,2705 S Water St,Pittsburgh,PA,15203,40.428768,-79.964499,4.0,795,1,"Breweries, Pubs, French, Food, German, Bars, Restaurants, Nightlife",,,False,,,,True,,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}",,,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}",,,,False,,True,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}",u'very_loud',True,True,u'full_bar',u'casual',True,True,True,True,True,"{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'no',2,12:0-23:0,11:0-2:0,11:0-2:0,11:0-0:0,11:0-23:0,11:0-23:0,0:0-0:0
694,54995,qcfL4DUjcjerQ0eubpJJsA,Rolling Cones,,Pittsburgh,PA,,40.4406819584,-79.9960580614,3.0,3,1,"Food Trucks, Ice Cream & Frozen Yogurt, Food, Food Stands, Desserts, Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,True,,,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
695,55041,nuMmehPFS5kI1_C9bBlK5A,Uptown Coffee,723 Washington Rd,Pittsburgh,PA,15228,40.3794757,-80.0448486,4.0,90,1,"Food, Restaurants, Coffee & Tea, Bakeries, Desserts",,,,,,,,,,,,,,,,,,True,,,True,,,,,,,True,,True,False,False,"{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'free',1,7:0-22:0,7:0-23:0,7:0-23:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0
696,55064,by_MaktiYQc5oDPd1E9uug,Boston Market,978 Greentree Rd,Pittsburgh,PA,15220,40.4180836,-80.0460119914,3.0,19,1,"Comfort Food, Restaurants, Pizza, American (Traditional), American (New), Chicken Wings, Sandwiches, Chicken Shop, Event Planning & Services, Caterers",,,,,,,,,,,,,,,,,,False,True,None,True,,u'average',False,True,u'none',u'casual',True,True,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",'free',1,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30,11:0-21:30
697,55069,RPe_cSOxq_qkG-LbxBlOyw,Hyde Park Prime Steakhouse,247 N Shore Dr,Pittsburgh,PA,15212,40.446175,-80.0082771,4.0,223,1,"Restaurants, Steakhouses",,,,,,,,,,,,,,,,False,True,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': True, 'classy': True, 'casual': False}",False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}",u'average',True,True,u'full_bar','dressy',True,False,False,False,False,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}",u'no',3,16:0-21:0,16:30-23:0,16:30-23:0,16:30-22:0,16:30-22:0,16:0-0:0,0:0-0:0
698,55088,bm8-Kriygv-R8DVCmKzoOw,Marty's Market,2301 Smallman St,Pittsburgh,PA,15222,40.4534962,-79.9822822,3.5,135,0,"Specialty Food, Butcher, Cafes, Restaurants, Breakfast & Brunch, Grocery, Food, Local Flavor",,,,,,,,,,,,,False,,,,True,True,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': True, 'upscale': False, 'casual': False}",True,,u'average',False,False,u'full_bar',u'casual',True,True,True,False,True,"{'garage': True, 'street': True, 'validated': True, 'lot': False, 'valet': False}",u'free',2,9:0-17:0,9:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-20:0,8:0-20:0
699,55125,erx8tQ0Wdc5YM0FddaKqKA,Tres Rios,1719 E Carson St,Pittsburgh,PA,15203,40.4288635668,-79.981051866,4.0,172,1,"Restaurants, Mexican, Bars, Cocktail Bars, Nightlife",,,,,,,False,False,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",,,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",,,True,,True,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': True}",,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",u'average',False,True,u'full_bar','casual',True,False,True,True,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'free',2,11:0-22:0,11:0-0:0,11:0-0:0,11:0-23:0,11:0-22:0,11:0-22:0,11:0-22:0
700,55231,ldGnkfXjRNAxRP9cizgr0Q,Gio's Cafe,625 Stanwix St,Pittsburgh,PA,15222,40.4429133285,-80.0045539552,4.0,18,0,"Sandwiches, Italian, Cafes, Restaurants",,,,,,,,,,,,,,,,,,True,False,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': False}",u'average',False,True,u'none',u'casual',True,True,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,1,10:0-23:0,10:0-0:0,9:0-0:0,9:0-23:0,9:0-23:0,9:0-23:0,9:0-23:0
701,55329,pAqgiVcOY5mPouuEW96R0g,Cattivo,146 44th St,Pittsburgh,PA,15201,40.472509,-79.961687,3.5,29,1,"American (Traditional), Music Venues, Food, Cocktail Bars, Nightlife, Bars, Gay Bars, Dance Clubs, Arts & Entertainment, Pizza, Restaurants",,,,,,,,,"{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}",,,"{'dj': True, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}",False,,,,,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': True, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",True,,u'average',False,True,u'full_bar','casual',True,False,True,False,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,2,,16:0-2:0,16:0-2:0,16:0-2:0,16:0-2:0,,
702,55330,e0Vvrs1M-oMhNBg_8uc6ZQ,Verde Good Beans,412 First Ave,Pittsburgh,PA,15219,40.4370074,-80.0000142,4.5,3,0,"Salad, Cafes, Food, Sandwiches, Restaurants, Coffee & Tea",,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,u'free',1,,,,,,,
